Image Filename,Reference Index,Target Index,Reference Side (px),Reference Size (cm),Scale Factor (px/cm),Target Length (px),Target Width (px),Estimated Target Length (cm),Estimated Target Width (cm),Reference Corners,Target Rotated Rect Points,Status
01_DRIVERSLIC_ROT45_FAR.jpg,2,1,185.5168,5.0,37.1034,296.2777,188.7975,7.9852,5.0884,"(378.8, 729.9); (504.5, 860.3); (367.9, 992.1); (242.1, 861.6)","(1094.5, 24.5); (1228.0, 158.0); (1018.5, 367.5); (885.0, 234.0)",success
01_DRIVERSLIC_ROT45_NEAR.jpg,2,1,231.972,5.0,46.3944,393.4125,249.2043,8.4797,5.3714,"(390.0, 857.0); (558.0, 695.0); (718.0, 859.0); (548.0, 1023.0)","(1159.9, 91.4); (1335.3, 268.4); (1055.8, 545.3); (880.4, 368.3)",success
01_DRIVERSLIC_TD_FAR.jpg,2,1,222.255,5.0,44.451,378.5537,236.2526,8.5162,5.3149,"(160.0, 517.0); (385.0, 519.0); (385.0, 738.0); (159.0, 736.0)","(1271.0, 516.5); (1649.5, 513.6); (1651.3, 749.9); (1272.8, 752.8)",success
01_DRIVERSLIC_TD_NEAR.jpg,2,1,235.5309,5.0,47.1062,414.0,258.0,8.7887,5.477,"(505.0, 516.0); (739.0, 518.0); (738.0, 752.0); (498.0, 750.0)","(1210.0, 513.0); (1624.0, 513.0); (1624.0, 771.0); (1210.0, 771.0)",success
01_DRIVERSLIC_TILT45_FAR.jpg,2,1,192.0189,5.0,38.4038,381.8181,183.9014,9.9422,4.7886,"(175.0, 576.0); (383.0, 575.0); (367.0, 744.0); (147.0, 744.0)","(1199.9, 568.0); (1581.7, 565.1); (1583.1, 749.0); (1201.3, 751.9)",success
01_DRIVERSLIC_TILT45_NEAR.jpg,2,1,568.9331,5.0,113.7866,1124.358,555.9276,9.8813,4.8857,"(707.0, 1263.0); (1317.0, 1265.0); (1293.0, 1769.0); (642.0, 1769.0)","(2517.9, 1256.2); (3642.3, 1254.6); (3643.1, 1810.5); (2518.7, 1812.1)",success
02_A4PAPER_ROT45_FAR.jpg,4,1,115.2579,5.0,23.0516,580.9033,460.4205,25.2002,19.9735,"(1221.0, 675.0); (1313.0, 750.0); (1235.0, 832.0); (1145.0, 759.0)","(133.1, 367.1); (427.9, 13.4); (874.1, 385.3); (579.4, 739.0)",success
02_A4PAPER_ROT45_NEAR.jpg,2,1,120.9862,5.0,24.1972,698.1947,535.9344,28.8543,22.1486,"(816.0, 104.0); (906.0, 21.0); (989.0, 108.0); (899.0, 190.0)","(640.6, 269.5); (1005.3, 662.2); (493.6, 1137.3); (129.0, 744.5)",success
02_A4PAPER_TD_FAR.jpg,3,2,130.28,5.0,26.056,707.5292,548.4959,27.1542,21.0507,"(24.0, 534.0); (157.0, 535.0); (152.0, 664.0); (22.0, 663.0)","(681.2, 120.4); (1388.7, 127.9); (1383.0, 676.3); (675.5, 668.9)",success
02_A4PAPER_TD_NEAR.jpg,2,1,126.6271,5.0,25.3254,748.1099,576.0211,29.5399,22.7448,"(76.0, 553.0); (210.0, 549.0); (212.0, 681.0); (106.0, 684.0)","(476.9, 106.2); (1225.0, 100.9); (1229.1, 676.9); (481.0, 682.3)",success
02_A4PAPER_TILT45_FAR.jpg,,,,,,,,,,,,skipped_by_user
02_A4PAPER_TILT45_NEAR.jpg,2,1,145.6622,5.0,29.1324,896.4291,479.3949,30.7708,16.4557,"(56.0, 404.0); (217.0, 403.0); (200.0, 528.0); (31.0, 528.0)","(536.6, 50.5); (1432.9, 61.7); (1427.0, 541.0); (530.6, 529.9)",success
03_IPHONE14PR_ROT45_FAR.jpg,2,1,152.0766,5.0,30.4153,458.745,224.9402,15.0827,7.3956,"(959.0, 181.0); (1067.0, 288.0); (964.0, 399.0); (855.0, 292.0)","(380.6, 697.2); (546.5, 849.0); (236.8, 1187.4); (70.8, 1035.6)",success
03_IPHONE14PR_ROT45_NEAR.jpg,3,1,181.6241,5.0,36.3248,522.1231,256.8177,14.3737,7.07,"(256.0, 441.0); (393.0, 564.0); (273.0, 697.0); (136.0, 574.0)","(506.1, 986.9); (679.8, 797.7); (1064.4, 1150.8); (890.8, 1340.0)",success
03_IPHONE14PR_TD_FAR.jpg,4,1,160.2651,5.0,32.053,453.5508,224.9135,14.15,7.0169,"(503.0, 202.0); (660.0, 206.0); (661.0, 367.0); (502.0, 366.0)","(446.7, 1004.3); (671.6, 1002.1); (675.9, 1455.6); (451.0, 1457.8)",success
03_IPHONE14PR_TD_NEAR.jpg,4,1,168.0015,5.0,33.6003,484.0699,237.1066,14.4067,7.0567,"(91.0, 137.0); (260.0, 137.0); (261.0, 303.0); (91.0, 304.0)","(597.6, 116.6); (1081.6, 112.3); (1083.7, 349.4); (599.7, 353.7)",success
03_IPHONE14PR_TILT45_FAR.jpg,4,1,158.6878,5.0,31.7376,502.5464,226.8361,15.8344,7.1472,"(486.0, 247.0); (636.0, 277.0); (634.0, 438.0); (483.0, 415.0)","(425.4, 1074.3); (652.3, 1075.2); (650.4, 1577.7); (423.6, 1576.9)",success
03_IPHONE14PR_TILT45_NEAR.jpg,3,1,130.8848,5.0,26.177,415.1615,184.0235,15.8598,7.03,"(407.0, 249.0); (531.0, 271.0); (529.0, 403.0); (406.0, 391.0)","(370.7, 667.5); (554.8, 669.9); (549.3, 1085.0); (365.3, 1082.6)",success
04_10BILL_ROT45_FAR.jpg,2,1,149.2422,5.0,29.8484,468.8118,200.8183,15.7064,6.7279,"(900.0, 368.0); (1006.0, 473.0); (904.0, 581.0); (797.0, 478.0)","(339.0, 871.0); (481.0, 1013.0); (149.5, 1344.5); (7.5, 1202.5)",success
04_10BILL_ROT45_NEAR.jpg,2,1,175.0417,5.0,35.0083,537.481,235.332,15.3529,6.7222,"(853.0, 356.0); (975.0, 480.0); (855.0, 606.0); (730.0, 485.0)","(444.0, 697.6); (612.3, 862.0); (236.8, 1246.5); (68.5, 1082.1)",success
04_10BILL_TD_FAR.jpg,2,1,165.5045,5.0,33.1009,508.3647,218.0085,15.358,6.5862,"(532.0, 281.0); (697.0, 282.0); (698.0, 448.0); (534.0, 448.0)","(482.4, 1109.5); (700.4, 1111.0); (696.9, 1619.4); (478.9, 1617.9)",success
