Image Filename,Reference Index,Target Index,Reference Side (px),Reference Size (cm),Scale Factor (px/cm),Target Length (px),Target Width (px),Estimated Target Length (cm),Estimated Target Width (cm),Reference Corners,Target Rotated Rect Points,Status
14_ALIENWAREM_TD_FAR.jpg,3,1,171.774,5,34.3548,409,234,11.9052,6.8113,"(582.0, 140.0); (752.0, 142.0); (750.0, 316.0); (579.0, 312.0)","(528.0, 1010.0); (762.0, 1010.0); (762.0, 1419.0); (528.0, 1419.0)",success
14_ALIENWAREM_TD_NEAR.jpg,4,2,168.0759,5,33.6152,396,229,11.7804,6.8124,"(582.0, 359.0); (749.0, 365.0); (745.0, 533.0); (577.0, 528.0)","(518.0, 877.0); (747.0, 877.0); (747.0, 1273.0); (518.0, 1273.0)",success
14_ALIENWAREM_TILT45_FAR.jpg,3,4,153.5,5,30.7,192,139,6.2541,4.5277,"(72.0, 576.0); (226.0, 576.0); (226.0, 729.0); (72.0, 729.0)","(675.0, 582.0); (867.0, 582.0); (867.0, 721.0); (675.0, 721.0)",success
14_ALIENWAREM_TILT45_NEAR.jpg,3,2,103.5302,5,20.706,263,182,12.7016,8.7897,"(288.9, 583.0); (330.9, 584.0); (327.0, 749.0); (285.0, 748.0)","(619.0, 594.0); (882.0, 594.0); (882.0, 776.0); (619.0, 776.0)",success
15_ICEMOUNTAI_ROT45_FAR.jpg,5,1,134.3997,5,26.8799,626.8752,201.8332,23.3213,7.5087,"(969.0, 367.0); (1066.0, 461.0); (975.0, 558.0); (877.0, 465.0)","(498.1, 857.3); (638.0, 1002.8); (186.1, 1437.3); (46.2, 1291.8)",success
15_ICEMOUNTAI_ROT45_NEAR.jpg,6,1,154.2442,5,30.8488,714.7255,243.9341,23.1686,7.9074,"(758.0, 444.0); (870.0, 339.0); (975.0, 451.0); (862.0, 558.0)","(537.0, 674.7); (711.1, 845.5); (210.6, 1355.7); (36.5, 1184.8)",success
15_ICEMOUNTAI_TD_FAR.jpg,6,2,143.5035,5,28.7007,691.3691,217.164,24.0889,7.5665,"(556.0, 256.0); (700.0, 257.0); (699.0, 400.0); (555.0, 399.0)","(547.0, 984.2); (764.1, 990.0); (745.4, 1681.1); (528.3, 1675.3)",success
15_ICEMOUNTAI_TD_NEAR.jpg,5,1,174.2593,5,34.8519,824.1223,263.6966,23.6464,7.5662,"(529.0, 221.0); (703.0, 219.0); (705.0, 392.0); (528.0, 394.0)","(545.9, 740.0); (809.6, 737.7); (816.6, 1561.8); (552.9, 1564.1)",success
15_ICEMOUNTAI_TILT45_FAR.jpg,7,2,177.3201,5,35.464,433.1816,177.3224,12.2147,5.0001,"(70.0, 830.0); (251.0, 830.0); (250.0, 999.0); (70.0, 1009.0)","(821.7, 776.4); (1253.6, 809.7); (1240.0, 986.5); (808.1, 953.2)",success
15_ICEMOUNTAI_TILT45_NEAR.jpg,5,3,176.3572,5,33.464,435.2426,180.0032,15.535,6.8943,"(280.3, 834.9); (285.1, 835.0); (283.0, 919.0); (278.2, 918.9)","(686.8, 693.0); (1276.7, 727.7); (1262.7, 966.2); (672.7, 931.5)",success
