metric,camera_pose,n,mean_signed_pct,median_signed_pct,std_signed_pct,underestimate_rate,overestimate_rate,mean_signed_ci_low,mean_signed_ci_high,one_sample_t_p,wilcoxon_signed_rank_p,wilcoxon_q
mean_of_length_width,rotated,36.0,5.438902629271273,6.352544851948877,12.561339368723242,0.25,0.75,1.392363727438198,9.435167811576388,0.013630304001104003,0.012085462658433244,0.013596145490737399
mean_of_length_width,tilted,34.0,-14.425518753987655,-19.883569800641155,27.85052372562015,0.7058823529411765,0.29411764705882354,-22.873314472748895,-4.200223528543653,0.004848204780848237,0.00031494395807385445,0.001417247811332345
mean_of_length_width,topdown,35.0,6.890869694843736,4.972530364372471,11.784608432290135,0.3142857142857143,0.6857142857142857,3.118430303858014,10.816732911888002,0.001476842996913102,0.001522789301816374,0.002741020743269473
length,rotated,36.0,4.690815119562806,7.69777327935223,16.36534477198656,0.3333333333333333,0.6666666666666666,-0.7717935137847355,9.661273410491004,0.09430405656899113,0.016752589581301436,0.016752589581301436
length,tilted,34.0,-12.687542352669276,-19.72428307123034,32.60564710431001,0.6764705882352942,0.3235294117647059,-22.689243844566956,-0.7037016783611505,0.029936794306002615,0.001195474062114954,0.0026898166397586465
length,topdown,35.0,7.532584113308771,6.31411764705882,13.193390658567226,0.3142857142857143,0.6857142857142857,3.221592639076109,11.866839293488816,0.0018449929747028908,0.001962146197911352,0.002943219296867028
width,rotated,36.0,6.186990138979741,5.582714285714282,10.721983199472373,0.16666666666666666,0.8333333333333334,2.783195919938346,9.711096624776648,0.0014307543902352595,0.0007638119859620929,0.0022914359578862786
width,tilted,34.0,-16.163495155306038,-17.374000000000002,25.37212504723599,0.8235294117647058,0.17647058823529413,-24.04331514744532,-7.100780233812028,0.0007503593573161554,3.8463855162262917e-05,0.00034617469646036625
width,topdown,35.0,6.2491552763786995,4.589999999999998,11.32661880149967,0.2857142857142857,0.7142857142857143,2.729787689124011,10.073557795948506,0.002506828249570426,0.002579869038211776,0.003316974477700855
