category,value,n,baseline_mae_cm,reference_mae_cm,mean_delta_mae_cm,median_delta_mae_cm,delta_mae_ci_low,delta_mae_ci_high,baseline_mape_pct,reference_mape_pct,mean_delta_mape_pct,reference_better_rate,paired_t_p_mape,wilcoxon_p_mape,wilcoxon_q_mape
shape_x_camera,irregular + topdown,18,6.072222222222223,1.7691972222222216,-4.303025000000001,-3.505375,-6.689229236111112,-2.2963964583333345,40.26835654061141,12.854098379041467,-27.41425816156994,1.0,0.0013440761356289276,7.62939453125e-06,0.0001220703125
shape_x_camera,irregular + rotated,18,5.288888888888889,2.405755555555556,-2.8831333333333333,-0.5860749999999999,-7.289198819444443,-0.27314291666666674,32.01230092685475,13.933185025165084,-18.079115901689665,0.7222222222222222,0.14434334936945933,0.00896453857421875,0.035858154296875
shape_x_camera,regular + rotated,18,2.3472222222222223,1.4517611111111113,-0.895461111111111,-0.1702999999999999,-2.3524477083333335,0.4337855555555553,13.347601950154743,8.745525369154846,-4.602076580999894,0.6111111111111112,0.2117580683627865,0.32472991943359375,0.47233442826704547
shape_x_camera,regular + topdown,17,1.6205882352941174,1.143252941176471,-0.4773352941176468,-0.022100000000000453,-1.2348608088235289,0.16137139705882367,10.521430027615798,7.416978293856075,-3.1044517337597237,0.5294117647058824,0.2093766442214171,0.4873809814453125,0.5570068359375
shape_x_camera,irregular + tilted,17,4.855882352941176,5.049473529411765,0.1935911764705882,0.5316000000000001,-2.546606617647059,2.5570266176470575,33.36611749562232,31.33064615509523,-2.0354713405270917,0.4117647058823529,0.8529023245482977,0.4306793212890625,0.5300668569711539
shape_x_camera,regular + tilted,17,1.9294117647058826,3.240597058823529,1.311185294117647,0.5907999999999998,-0.29259419117647056,2.9392486029411766,12.933238070630189,17.671757179822333,4.738519109192144,0.17647058823529413,0.3425303958277236,0.1323699951171875,0.2117919921875
knownness_x_camera,unknown + topdown,15,6.173333333333333,2.1559833333333334,-4.0173499999999995,-0.7784500000000003,-7.029841916666666,-1.4568125833333339,36.217592577606275,14.70012585162163,-21.51746672598465,0.7333333333333333,0.02916432949520122,0.02154541015625,0.0689453125
knownness_x_camera,unknown + rotated,16,6.5875,3.187290625,-3.400209375,-0.84145,-8.435415546875,-0.001500703125000168,36.20632347768655,16.528200543474405,-19.678122934212148,0.6875,0.16897221194638143,0.116668701171875,0.20741102430555555
knownness_x_camera,known + topdown,20,2.2125,0.9470549999999998,-1.2654450000000002,-0.5706749999999999,-2.0721334999999996,-0.5215993125000006,18.02154197681899,6.848025702198763,-11.173516274620228,0.8,0.006150666744150857,0.0005855560302734375,0.0046844482421875
knownness_x_camera,known + rotated,20,1.6024999999999998,0.9219324999999999,-0.6805674999999998,-0.26325,-1.4759684375,0.002245374999999701,11.858853807159301,7.1882789201084165,-4.6705748870508845,0.65,0.039475604913845073,0.058258056640625,0.15208217075892858
knownness_x_camera,unknown + tilted,16,5.025,5.861475,0.836475,1.5338499999999997,-2.0979903906250006,3.2944854687499996,26.948001854370375,27.035168561771677,0.08716670740130494,0.4375,0.9912867656233468,0.5618896484375,0.5618896484375
knownness_x_camera,known + tilted,18,1.9416666666666669,2.619311111111111,0.6776444444444447,0.4775499999999997,-0.8175011805555557,2.3010795138888893,19.773389719798153,22.248786650291763,2.4753969304936145,0.16666666666666666,0.7817663681868875,0.06653594970703125,0.15208217075892858
shape_x_reference,irregular + ref near,26,6.311538461538462,3.04515,-3.2663884615384613,-1.026175,-6.888345817307692,-0.4462279326923092,38.93981574234412,17.89484505960145,-21.044970682742676,0.7307692307692307,0.04649728368710674,0.0024107694625854492,0.012857437133789062
shape_x_reference,irregular + ref far,27,4.553703703703703,3.0302333333333333,-1.5234703703703705,-0.4344999999999999,-3.193968148148148,-0.14450703703703763,31.697800834778633,20.35281905047034,-11.344981784308299,0.7037037037037037,0.08936020215071777,0.09538766741752625,0.1907753348350525
shape_x_reference,regular + ref near,26,1.9673076923076922,1.8452134615384617,-0.12209423076923061,-0.013699999999999601,-1.1955291346153845,0.966186730769231,13.04334792996412,10.488493800572597,-2.554854129391524,0.5384615384615384,0.40938234629183023,0.5482756793498993,0.5618896484375
shape_x_reference,regular + ref far,26,1.978846153846154,2.0262153846153845,0.04736923076923098,0.14067499999999966,-1.1397419711538463,1.211685048076923,11.533044099765387,11.970273880093565,0.43722978032817966,0.34615384615384615,0.8910534075506298,0.3940727114677429,0.5254302819569906
