dimension,baseline_mae_cm,reference_mae_cm,mean_delta_mae_cm,baseline_mape_pct,reference_mape_pct,mean_delta_mape_pct,reference_better_rate,paired_t_p_mape,wilcoxon_p_mape
length,4.6066666666666665,3.3174580952380954,-1.2892085714285713,23.707025843617327,16.92817300884411,-6.778852834773217,0.5238095238095238,0.02799314103821825,0.1444705284031346
width,2.8152380952380955,1.6663009523809524,-1.1489371428571429,24.05034605377196,13.52363738372079,-10.52670867005117,0.6095238095238096,0.0046214883678995615,0.0028430038112208676
